id,division,subtitle,club,contact,email,
122,24,,13,,
123,24,,14,,
124,24,,16,,
125,24,A,8,,
126,24,,17,,
127,24,,7,,
128,24,,20,,
129,24,,2,,
130,25,,1,,
131,25,,12,,
132,25,,9,,
133,25,,10,,
134,25,B,8,,
135,25,,18,,
136,25,,19,,
137,25,,4,,
138,26,,17,,
139,26,,20,,
140,26,,8,,
141,26,,1,,
142,26,,16,,
143,26,,7,,
144,26,,3,,
145,27,,12,,
146,27,,2,,
147,27,,19,,
148,27,,9,,
149,27,,4,,
150,27,,11,,
151,28,,14,,
152,28,,16,,
153,28,,13,,
154,28,,7,,
155,28,,8,,
156,28,,1,,
157,28,A,6,,
158,29,,12,,
159,29,,2,,
160,29,,9,,
161,29,,5,,
162,29,,15,,
163,29,,10,,
164,29,,19,,
165,29,,20,,
166,29,B,6,,
167,30,,7,,
168,30,A,8,,
169,30,,13,,
170,30,,14,,
171,30,,16,,
172,30,,18,,
173,30,,20,,
174,31,,1,,
175,31,,2,,
176,31,,4,,
177,31,,9,,
178,31,,10,,
179,31,B,8,,
180,31,,12,,
181,32,,1,,
182,32,,2,,
183,32,,7,,
184,32,,8,,
185,32,,16,,
186,32,,14,,
187,32,,17,,
188,32,,20,,
189,33,,3,,
190,33,,4,,
191,33,,9,,
192,33,,12,,
193,33,,19,,
194,34,,1,,
195,34,,2,,
196,34,,7,,
197,34,A,8,,
198,34,,13,,
199,34,,14,,
200,34,,16,,
201,35,,6,,
202,35,B,8,,
203,35,,9,,
204,35,,10,,
205,35,,12,,
206,35,,15,,
207,36,,2,,
208,36,,7,,
209,36,,12,,
210,36,,13,,
211,36,,14,,
212,36,,16,,
213,36,,18,,
214,37,,4,,
215,37,A,8,,
216,37,B,8,,
217,37,,9,,
218,37,,10,,
219,37,,20,,
220,38,,2,,
221,38,,7,,
222,38,,8,,
223,38,,14,,
224,38,,16,,
225,38,,17,,
226,39,,4,,
227,39,,9,,
228,39,,12,,
229,39,,19,,
230,39,,20,,
231,40,,1,,
232,40,,7,,
233,40,,9,,
234,40,,12,,
235,40,,13,,
236,40,,14,,
237,40,,16,,
238,41,,2,,
239,41,,21,,
241,41,A,8,,
242,41,B,8,,
243,41,,10,,
244,41,,15,,
