id|division|subtitle|club|contact|email|
245|36||23||
246|36|A|24||
247|36|B|24||
248|36|A|28||
249|36|A|34||
250|36|B|34||
251|36|A|36||
252|37|A|38||
253|37|B|36||
254|37||33||
255|37|A|32||
256|37||27||
257|37|C|24||
258|37|D|24||
259|38|A|25||
260|38|A|26||
261|38|B|26||
262|38|B|28||
263|38|B|32||
264|38|B|38||
266|38||39||
267|39|C|32||
268|39||31||
269|39||29||
270|39||22||
271|39|B|25||
272|39|C|26||
273|39||35||
275|41||23||
276|41|A|24||
277|41|B|24||
278|41||28||
279|41||33||
280|41||34||
281|42||38||
282|42||36||
283|42||35||
284|42||32||
285|42||26||
286|43||25||
287|43||31||
288|43||39||
289|44|A|23||
290|44|B|23||
291|44|A|24||
292|44||28||
293|44||34||
294|44|A|36||
295|44|B|36||
296|44||38||
297|45||33||
298|45|A|32||
299|45||27||
300|45|A|26||
301|45|A|25||
302|45|B|24||
303|45|C|23||
304|46|C|24||
305|46|B|26||
306|46||29||
307|46|A|30||
308|46||31||
309|46|B|32||
310|46|A|37||
311|47||41||
312|47||39||
313|47|B|37||
314|47||35||
315|47|B|30||
316|47|C|26||
317|47|B|25||
